NOMBRE,TIPO_ENTIDAD,RELACIONADO_CON,TIPO_RELACION
AXA Investment Managers SA,empresa,Neoen SA,shareholder
BlackRock Inc.,empresa,Neoen SA,shareholder
Bpifrance Participations SA,empresa,Neoen SA,shareholder
CITIGROUP INC,empresa,Neoen SA,shareholder
Financiere de l'Echiquier,empresa,Neoen SA,shareholder
Fonds Stratégique de Participation (FSP) Compartiment,empresa,Neoen SA,shareholder
Norges Bank Investment Management,gobierno,Neoen SA,shareholder
Schroder Investment Management Ltd.,empresa,Neoen SA,shareholder
Vanguard Group Inc.,empresa,Neoen SA,shareholder
Xavier Barbaro,persona,Neoen SA,shareholder
Generadora Fénix SAPI de CV,empresa,,
LF del Centro SC de RL de CV,empresa,Generadora Fénix SAPI de CV,parent
Braulio Ojeda Garcia,persona,LF del Centro SC de RL de CV,shareholder
Carlos Armando Salas Loza,persona,LF del Centro SC de RL de CV,shareholder
Dolores Victor Vargas Reyes,persona,LF del Centro SC de RL de CV,shareholder
Eduardo Bobadilla Zarza,persona,LF del Centro SC de RL de CV,shareholder
Elliot Oseguera Valencia,persona,LF del Centro SC de RL de CV,shareholder
Fernando Amezcua Castillo,persona,LF del Centro SC de RL de CV,shareholder
Gerardo Avelar Flores,persona,LF del Centro SC de RL de CV,shareholder
Guillermo Cruz Campos,persona,LF del Centro SC de RL de CV,shareholder
Hector Cortes Hernandez,persona,LF del Centro SC de RL de CV,shareholder
Hugo Alvarez Piña,persona,LF del Centro SC de RL de CV,shareholder
Hugo Vega Quijano,persona,LF del Centro SC de RL de CV,shareholder
Hugo Alberto Ortega Comezaña,persona,LF del Centro SC de RL de CV,shareholder
Humbert  Medrano  Morales,persona,LF del Centro SC de RL de CV,shareholder
Israel Gerardo Nuñez Delgadillo,persona,LF del Centro SC de RL de CV,shareholder
Jorge Eulises  Uribe Gaona,persona,LF del Centro SC de RL de CV,shareholder
Jose Fernando Muñoz Ponce,persona,LF del Centro SC de RL de CV,shareholder
Jose Humberto Montes De Oca Luna,persona,LF del Centro SC de RL de CV,shareholder
Juan Jose Gomez Beristain,persona,LF del Centro SC de RL de CV,shareholder
Juan Luis Gonzalez Vargas,persona,LF del Centro SC de RL de CV,shareholder
Martin Esparza Flores,persona,LF del Centro SC de RL de CV,shareholder
Miguel Marquez Rios,persona,LF del Centro SC de RL de CV,shareholder
Modesto Gutierrez Monasterio,persona,LF del Centro SC de RL de CV,shareholder
